May 15 05:57:00.978 INFO Ballot Leader Election component pid: 2 created!
May 15 05:57:04.970 WARN Did not receive a majority of heartbeats []
May 15 05:57:08.970 WARN Did not receive a majority of heartbeats []
May 15 05:57:12.970 WARN Did not receive a majority of heartbeats []
May 15 05:57:16.971 WARN Did not receive a majority of heartbeats []
May 15 05:57:20.970 WARN Did not receive a majority of heartbeats []
May 15 05:57:24.970 WARN Did not receive a majority of heartbeats []
May 15 05:57:28.970 WARN Did not receive a majority of heartbeats []
May 15 05:57:32.970 WARN Did not receive a majority of heartbeats []
May 15 05:57:36.971 WARN Did not receive a majority of heartbeats []
May 15 05:57:40.970 WARN Did not receive a majority of heartbeats []
May 15 05:57:44.970 WARN Did not receive a majority of heartbeats []
May 15 05:57:48.970 WARN Did not receive a majority of heartbeats []
May 15 05:57:52.970 WARN Did not receive a majority of heartbeats []
May 15 05:57:56.970 WARN Did not receive a majority of heartbeats []
May 15 05:58:00.971 WARN Did not receive a majority of heartbeats []
May 15 05:58:04.970 WARN Did not receive a majority of heartbeats []
May 15 05:58:08.970 WARN Did not receive a majority of heartbeats []
May 15 05:58:12.970 WARN Did not receive a majority of heartbeats []
May 15 05:58:16.970 WARN Did not receive a majority of heartbeats []
May 15 05:58:20.970 WARN Did not receive a majority of heartbeats []
May 15 05:58:24.970 WARN Did not receive a majority of heartbeats []
May 15 05:58:28.970 WARN Did not receive a majority of heartbeats []
May 15 05:58:32.970 WARN Did not receive a majority of heartbeats []
May 15 05:58:36.970 WARN Did not receive a majority of heartbeats []
May 15 05:58:40.970 WARN Did not receive a majority of heartbeats []
May 15 05:58:44.970 WARN Did not receive a majority of heartbeats []
May 15 05:58:48.970 WARN Did not receive a majority of heartbeats []
May 15 05:58:52.970 WARN Did not receive a majority of heartbeats []
May 15 05:58:56.970 WARN Did not receive a majority of heartbeats []
May 15 05:59:00.970 WARN Did not receive a majority of heartbeats []
May 15 05:59:04.970 WARN Did not receive a majority of heartbeats []
May 15 05:59:08.970 WARN Did not receive a majority of heartbeats []
May 15 05:59:12.970 WARN Did not receive a majority of heartbeats []
May 15 05:59:16.970 WARN Did not receive a majority of heartbeats []
May 15 05:59:20.970 WARN Did not receive a majority of heartbeats []
May 15 05:59:24.970 WARN Did not receive a majority of heartbeats []
May 15 05:59:28.970 WARN Did not receive a majority of heartbeats []
